 


  
  

NCAA Women's Soccer
Division IShutouts
Through Games 12/08/2019


"Rank","Name","Team","Cl","Pos","Shutouts"
"","Gianna Yurchak","Buffalo","Jr.","F","19","1","1","1.000"
"","Shawna Zaken","Northern Ky.","Sr.","M","18","1","1","1.000"
"","Asha Zuniga","UAB","Fr.","-","18","1","1","1.000"
Reclassifying
"NR","Shelby Wall","North Ala.","Sr.","-","17","1","1","1.000"
"NR","Karley Weeks","California Baptist","So.","-","19","1","1","1.000"

NCAA Women's Soccer
Division IGoals Per Game
Through Games 12/08/2019


"Rank","Name","Team","Cl","Pos","Games","Goals","Per Game"
"1","Catarina Macario","Stanford","Jr.","-","25","32","1.28"
"2","Evelyne Viens","South Fla.","Sr.","F","20","25","1.25"
"3","Peyton DePriest","Middle Tenn.","Jr.","-","16","18","1.13"
"4","Esther Okoronkwo","Lamar University","Jr.","F","23","25","1.09"
"5","Lucy Ashworth","Lamar University","Jr.","F","23","21","0.91"
"6","Shaelan Murison","UC Santa Barbara","Sr.","-","19","17","0.89"
"","Autumn Woodard","Louisiana Tech","So.","F","19","17","0.89"
"8","Elise Flake","BYU","Sr.","F","23","20","0.87"
"9","Kate Del Fava","Illinois St.","Sr.","-","20","17","0.85"
"10","Lexi Romero","Air Force","Fr.","F","17","14","0.82"
"11","Sophia Smith","Stanford","So.","-","21","17","0.81"
"12","Ally Watt","Texas A&M","Sr.","F","20","16","0.80"
"13","Diana Ordonez","Virginia","Fr.","F","19","15","0.79"
"","Miyah Watford","Murray St.","Sr.","-","19","15","0.79"
"15","Penelope Hocking","Southern California","So.","F","23","18","0.78"
"16","Clarissa Larisey","Memphis","Jr.","F","21","16","0.76"
"","Lucy Porter","Hofstra","Jr.","M","21","16","0.76"
"18","Alexa Genas","Campbell","Sr.","F","19","14","0.74"
"19","Kirsten Davis","Texas Tech","Jr.","-","22","16","0.73"
"20","Shawna Zaken","Northern Ky.","Sr.","M","18","13","0.72"
"21","Tara McKeown","Southern California","Jr.","F","21","15","0.71"
"22","Alyssa McGhee","Saint Francis (PA)","Sr.","-","17","12","0.71"
"23","Mikayla Colohan","BYU","Jr.","M","23","16","0.70"
"","Raimee Sherle","Boise St.","Sr.","-","23","16","0.70"
"25","Melissa Kössler","Massachusetts","Fr.","-","16","11","0.69"
"26","Keeley Ayala","Incarnate Word","So.","F","19","13","0.68"
"","Mackenzie Litzsinger","SIUE","Jr.","-","19","13","0.68"
"28","Meghan McCool","Virginia","Sr.","F","22","15","0.68"
"","Briana Morris","South Alabama","Sr.","F","22","15","0.68"
"30","Katie McClure","Kansas","Sr.","F","25","17","0.68"
"31","Lauren Bonavita","Massachusetts","So.","-","18","12","0.67"
"32","Izzy D'Aquila","Santa Clara","Fr.","M","23","15","0.65"
"","Kelsey Turnbow","Santa Clara","Jr.","-","23","15","0.65"
"34","Nelia Perez","Radford","Sr.","-","20","13","0.65"
"","Allie Thornton","SMU","Sr.","F","20","13","0.65"
"36","Elyse Huber","North Dakota St.","Sr.","F","17","11","0.65"
"","Zsani Kajan","St. John's (NY)","Jr.","-","17","11","0.65"
"","Evdokia Popadinova","FGCU","Sr.","F","17","11","0.65"
"","Alyssa Walker","Richmond","Jr.","-","17","11","0.65"
"40","Berklee Peters","North Texas","Jr.","F","22","14","0.64"
"41","Christina Arteaga","Abilene Christian","Jr.","F","19","12","0.63"
"","Thais Reiss","North Florida","Jr.","-","19","12","0.63"
"43","Morgan Weaver","Washington St.","Sr.","F","24","15","0.63"
"44","Haley Hopkins","Vanderbilt","Jr.","F","21","13","0.62"
"45","Julissa Cisneros","Missouri","So.","F","18","11","0.61"
"","Skylar Heinrich","Creighton","Fr.","F","18","11","0.61"
"47","Anna Podojil","Arkansas","Fr.","-","23","14","0.61"
"48","Kaylee Dao","Oklahoma","Sr.","-","20","12","0.60"
"49","Tziarra King","NC State","Sr.","M","22","13","0.59"
"","Dani Rhodes","Wisconsin","Sr.","F","22","13","0.59"
"51","Allie Winstanley","Dartmouth","Fr.","F","17","10","0.59"
"52","Mia Fishel","UCLA","Fr.","M","24","14","0.58"
"53","Maddie Bennett","Cal St. Fullerton","Sr.","F","21","12","0.57"
"","Alyssa Francese","Stony Brook","Jr.","F","21","12","0.57"
"","Atlanta Primus","Cal St. Fullerton","Sr.","M","21","12","0.57"
"","Sarah Wright","Ark.-Pine Bluff","Sr.","D","14","8","0.57"
"57","Samantha Dewey","Xavier","Sr.","-","23","13","0.57"
"58","Katie Lockwood","Campbell","Sr.","M","16","9","0.56"
"","Gia Wahlberg","Michigan St.","So.","F","16","9","0.56"
"60","Nicole Icen","Mercer","Fr.","F","18","10","0.56"
"","Roma McLaughlin","Central Conn. St.","So.","M","18","10","0.56"
"","Amanda West","Pittsburgh","Fr.","F","18","10","0.56"
"63","Samantha Jehnings","San Francisco","Sr.","M","20","11","0.55"
"","Caeley Lordemann","Colorado St.","Sr.","M","20","11","0.55"
"65","Messiah Bright","TCU","So.","F","22","12","0.55"
"","Stina Kleppe","Gardner-Webb","Sr.","M","22","12","0.55"
"","Taylor Kornieck","Colorado","Sr.","-","22","12","0.55"
"68","Alessia Russo","North Carolina","Jr.","-","24","13","0.54"
"69","Beatriz Kretteis","Mississippi Val.","Fr.","M","13","7","0.54"
"70","Deena DeBaldo","Duquesne","Jr.","M","17","9","0.53"
"","Jacqui Hand","Colorado Col.","So.","F","17","9","0.53"
"72","Gabrielle Farrell","Liberty","Sr.","-","19","10","0.53"
"","Megan Greene","Charlotte","Sr.","-","19","10","0.53"
"","Morgan Otteson","Western Mich.","So.","-","19","10","0.53"
"","Katelyn Termini","SFA","Jr.","-","19","10","0.53"
"","Morgan Turner","DePaul","Jr.","F","19","10","0.53"
"","MaKayla Waldner","Mississippi St.","Sr.","-","19","10","0.53"
"78","Sabrina Bryan","Hofstra","Jr.","F","21","11","0.52"
"","Amanda Carolan","Georgetown","Sr.","-","21","11","0.52"
"","Nicole Douglas","Arizona St.","So.","F","21","11","0.52"
"","Nneka Moneme","Rutgers","Jr.","F","21","11","0.52"
"","Mary O'Hara","Fla. Atlantic","Sr.","-","21","11","0.52"
"","Rachel Sorkenn","George Washington","So.","-","21","11","0.52"
"","Emma Westin","California","Jr.","F","21","11","0.52"
"85","Deyna Castellanos","Florida St.","Sr.","-","23","12","0.52"
"","Cameron Tucker","BYU","Jr.","F","23","12","0.52"
"87","Ally Schlegel","Penn St.","Fr.","M","25","13","0.52"
"88","Marah Abu-Tayeh","Marshall","Sr.","-","18","9","0.50"
"","Murphy Agnew","Harvard","Jr.","F","14","7","0.50"
"","Maci Bower","La Salle","Sr.","-","20","10","0.50"
"","Aerial Chavarin","Yale","Sr.","F","16","8","0.50"
"","Channing Foster","Ole Miss","Jr.","F","20","10","0.50"
"","Jill Hildreth","UT Martin","So.","F","16","8","0.50"
"","Destiny Johnson","Wright St.","Jr.","-","18","9","0.50"
"","Carson Jones","Elon","Jr.","-","20","10","0.50"
"","Vanessa Kara","Florida","Sr.","F","20","10","0.50"
"","Leah Manuleleua","South Dakota St.","Sr.","F","22","11","0.50"
"","Milan Moses","San Diego","Sr.","M","18","9","0.50"
"","Ally Reynolds","New Hampshire","Sr.","-","18","9","0.50"
"","Jada Talley","Arizona","Jr.","-","20","10","0.50"
"","MA Vignola","Tennessee","Sr.","F","18","9","0.50"
"102","Hannah Friedrich","Saint Louis","So.","-","23","11","0.48"
"103","Rylan Childers","UMKC","So.","M","21","10","0.48"
"","Olivia Doak","Lipscomb","Sr.","-","21","10","0.48"
"","Alivia Milesky","Ohio","Sr.","M","21","10","0.48"
"106","Amber Crispin","Iona","Sr.","F","19","9","0.47"
"","Abby Deakin","A&M-Corpus Christi","Jr.","-","19","9","0.47"
"","Hannah Hoefs","Loyola Maryland","Sr.","M","19","9","0.47"
"","Kylee Kim-Bustillos","Sacramento St.","Jr.","F","19","9","0.47"
"","Jordan Langebartels","Oral Roberts","Sr.","F","19","9","0.47"
"","Lexie Palladino","Monmouth","Sr.","-","19","9","0.47"
"","Nicky Potts","Ball St.","Jr.","-","19","9","0.47"
"","Mckenzie Weinert","Oregon St.","So.","F","19","9","0.47"
"114","Hailey Block","Southeast Mo. St.","Fr.","M","17","8","0.47"
"","Julia Grosso","Texas","So.","-","17","8","0.47"
"","Ashley Leonard","Western Ky.","Jr.","F","17","8","0.47"
"","Arianna Montefusco","Manhattan","Jr.","-","17","8","0.47"
"","Taryn Ries","Portland","Jr.","F","17","8","0.47"
"119","Madison Haley","Stanford","Jr.","-","24","11","0.46"
"120","Jill Aguilera","Arizona","Jr.","-","20","9","0.45"
"","Allie Byrd","North Texas","Fr.","F","20","9","0.45"
"","Jessica Carrieri","Elon","Fr.","-","20","9","0.45"
"","Haley Johnson","Milwaukee","So.","F","20","9","0.45"
"","Miciah Madison","San Francisco","Sr.","F","20","9","0.45"
"","Marykate McGuire","Duke","So.","-","20","9","0.45"
"","Brice McInroy","Villanova","Fr.","-","20","9","0.45"
"","Hannah McNulty","Providence","Jr.","F","20","9","0.45"
"","Gabi Paupst","Radford","Jr.","-","20","9","0.45"
"","Sarah Sodoma","Arkansas St.","Jr.","F","20","9","0.45"
"130","Hulda Arnarsdottir","Wake Forest","So.","F","18","8","0.44"
"","Thalia Boucher","Howard","So.","M","18","8","0.44"
"","Frida Brattum","Ga. Southern","Sr.","F","18","8","0.44"
"","Vital Kats","Kent St.","Jr.","-","18","8","0.44"
"","Sarah Luebbert","Missouri","Sr.","F","18","8","0.44"
"","Hailey Pohevitz","Southern Miss.","Jr.","F","18","8","0.44"
"","Hannah Richardson","Kentucky","Fr.","F","18","8","0.44"
"","Sam Smith","Boston College","Fr.","-","18","8","0.44"
"138","Sam Coffey","Penn St.","Jr.","M","25","11","0.44"
"139","Gabby DelPico","Harvard","Fr.","M","16","7","0.44"
"","Hailey  Gutowski","Temple","So.","M","16","7","0.44"
"","Ashley Humphrey","San Francisco","Jr.","M","16","7","0.44"
"","Morgan Hutchison","Presbyterian","Jr.","F","16","7","0.44"
"","Kayla Ryan","Hawaii","So.","-","16","7","0.44"
"","Maggie Struble","Stetson","Fr.","-","16","7","0.44"
"","Ellery Winkler","Yale","Fr.","F","16","7","0.44"
"146","Parker Goins","Arkansas","Jr.","-","23","10","0.43"
"","Kennedy White","Bowling Green","Fr.","F","23","10","0.43"
"148","Amirah Ali","Rutgers","Jr.","F","21","9","0.43"
"","Tanya Boychuk","Memphis","So.","M","21","9","0.43"
"","Paula Germino-Watnick","Georgetown","Sr.","-","21","9","0.43"
"","Emilie Kupsov","Longwood","Sr.","F","14","6","0.43"
"","Jimena Lopez","Texas A&M","Jr.","M","21","9","0.43"
"","Miri Taylor","Hofstra","So.","M","21","9","0.43"
"","Pernille Velta","Fla. Atlantic","Sr.","-","21","9","0.43"
"","Taylor Yount","Samford","Fr.","F","21","9","0.43"
Reclassifying
"NR","Shelby Wall","North Ala.","Sr.","-","17","15","0.88"
"NR","Rola Badawiya","California Baptist","Jr.","-","19","11","0.58"

NCAA Women's Soccer
Division ISaves Per Game
Through Games 12/08/2019


"Rank","Name","Team","Cl","Pos","Games","Goalie Min. Plyd","Team Min","Saves","Per Game"
"1","McKenzie McCarthy","Mississippi Val.","So.","GK","14","1296:47","1386:47","155","11.07"
"2","Judith Sorribes","Chicago St.","So.","-","17","1508:49","1717:54","151","8.88"
"3","Kali Helms","Alcorn","Fr.","GK","15","982:10","1440:00","124","8.27"
"4","Maggie Barron","Mt. St. Mary's","Jr.","GK","12","1046:40","1564:28","98","8.17"
"5","Megan Donnally","Northern Ill.","Jr.","GK","9","838:00","1580:12","71","7.89"
"6","Victoria Scarratt","Saint Peter's","Jr.","GK","14","1235:00","1550:00","102","7.29"
"7","Trinity  Taylor ","Ark.-Pine Bluff","Fr.","GK","17","1312:29","1530:00","121","7.12"
"8","Sara Teteak","Eastern Ill.","Sr.","GK","18","1714:46","1714:46","127","7.06"
"9","Izzie Vaccari","Miami (OH)","So.","GK","17","1470:33","1605:33","119","7.00"
"","Isabella Whitmore","Southern Utah","Fr.","GK","13","965:24","1586:52","91","7.00"
"11","Logan Pace","USC Upstate","So.","GK","16","1386:36","1508:59","111","6.94"
"12","Kristian Shores","Jacksonville","Sr.","GK","13","1168:39","1513:39","87","6.69"
"13","Dmitri Fong","New Mexico St.","Jr.","GK","18","1624:20","1681:17","120","6.67"
"14","Sydney Bruckner","Robert Morris","Jr.","GK","17","1546:24","1591:24","113","6.65"
"15","Katie Hogarth","Idaho St.","Sr.","GK","19","1824:14","1824:14","126","6.63"
"16","Morgan Basileo","Temple","Sr.","GK","19","1734:09","1814:35","124","6.53"
"17","Kendal Stovall","Nevada","So.","GK","18","1608:14","1672:21","117","6.50"
"18","Katelyn Kellogg","Gardner-Webb","So.","GK","13","1117:47","2046:55","82","6.31"
"19","Emma Grace Goldman","LSU","Jr.","-","17","1404:30","1600:45","107","6.29"
"20","Kate McEachern","Youngstown St.","Jr.","GK","15","1385:51","1655:51","94","6.27"
"21","Jade Wilkins","UMBC","Jr.","GK","14","1159:34","1592:49","86","6.14"
"22","Monica Polgar","North Dakota St.","Sr.","GK","18","1680:00","1680:00","110","6.11"
"23","Lindsay Langley","Marshall","So.","-","16","1376:09","1653:09","97","6.06"
"24","Rian Kasner","La.-Monroe","---","gk","12","1018:34","1660:00","72","6.00"
"","Natalie Kelchner","Marist","So.","GK","13","1102:20","1612:08","78","6.00"
"","Savannah Madden","Texas","Jr.","-","10","950:39","1863:49","60","6.00"
"27","Lily Herman","Belmont","Sr.","-","22","1991:01","2003:44","131","5.95"
"28","Dariana Mihalache","Southern Ill.","Fr.","GK","17","1251:52","1572:03","101","5.94"
"","Molly Saylor","NJIT","Fr.","GK","17","1591:30","1687:09","101","5.94"
"30","Maria Mon","Wofford","So.","GK","17","1479:23","1704:45","100","5.88"
"31","Megan Serrano","Presbyterian","So.","GK","12","974:13","1668:30","70","5.83"
"32","Camryn Nici","Manhattan","Sr.","-","15","1055:00","1497:12","87","5.80"
"33","Alexis Mata","Hawaii","Sr.","-","18","1726:11","1726:09","104","5.78"
"34","Lorah Pund","Purdue Fort Wayne","Jr.","GK","18","1512:10","1519:10","103","5.72"
"35","Michaela Till","Evansville","Jr.","-","16","1455:36","1588:48","90","5.63"
"36","Taylor Dorado","Siena","Sr.","-","19","1693:10","1693:10","106","5.58"
"37","Bailey Redden","Southeast Mo. St.","So.","GK","16","1471:33","1566:34","89","5.56"
"38","Maggie Boston","St. Francis Brooklyn","So.","GK","11","874:04","1537:31","61","5.55"
"","Roosa Hurmerinta","Nicholls St.","Sr.","GK","11","920:00","1640:00","61","5.55"
"40","Kayla DeTreux","LIU Brooklyn","Fr.","GK","16","1370:00","1640:00","88","5.50"
"","Maddy Henry","Marquette","Sr.","GK","18","1555:26","1606:41","99","5.50"
"","Shelby Hogan","Providence","Jr.","GK","20","1889:42","1901:47","110","5.50"
"","Kayla Landman","Morehead St.","Fr.","GK","14","1162:59","1592:49","77","5.50"
"44","Elyssa Kipperman","Sacred Heart","Fr.","GK","19","1690:45","1765:41","104","5.47"
"45","Fabrea McCRAY","Delaware St.","---","-","13","993:21","1627:17","71","5.46"
"46","Carmen Carbonell","Rider","Jr.","GK","16","1418:58","1432:45","87","5.44"
"47","Kyleigh Hall","A&M-Corpus Christi","Jr.","-","19","1771:48","1881:48","103","5.42"
"","Erica Myers","UT Martin","Jr.","GK","19","1718:53","1718:53","103","5.42"
"49","Gabi McDonald","Colorado St.","So.","GK","20","1887:21","1887:21","108","5.40"
"50","Jazmin Gonzalez","Charleston So.","Sr.","GK","18","1665:01","1755:01","97","5.39"
"","Mimi Stines","Northern Ky.","So.","GK","18","1511:31","1543:39","97","5.39"
"52","Mabel Dunn","Eastern Mich.","Sr.","-","13","1159:32","2053:07","70","5.38"
"53","Aaliyah Fesili","Sacramento St.","Jr.","GK","19","1857:46","1857:44","102","5.37"
"54","Delaney Mitchell","Towson","So.","GK","11","833:56","1561:18","59","5.36"
"55","Jodi Medina","Alabama A&M","Jr.","G","19","1732:46","1732:46","101","5.32"
"56","Noelle Heilpern","VMI","Fr.","GK","13","1144:39","1660:00","69","5.31"
"57","Amber Michel","San Diego","Sr.","GK","18","1497:17","1572:23","95","5.28"
"58","Nadine Maher","Southeastern La.","Jr.","GK","12","1032:30","1640:00","63","5.25"
"59","Lysianne Proulx","Syracuse","Jr.","-","16","1491:06","1491:06","83","5.19"
"60","Enya Hernandez","Portland St.","Fr.","GK","19","1450:00","1540:00","98","5.16"
"61","Claudia Jenkins","La Salle","Jr.","-","20","1828:43","1839:24","103","5.15"
"62","Salma Ghazal","Texas Southern","So.","GK","15","1159:06","1459:36","77","5.13"
"","Emberly Sevilla","UNLV","So.","-","15","1345:46","1752:47","77","5.13"
"64","Kaylee Donnelly","Bucknell","Fr.","GK","17","1538:52","1691:27","87","5.12"
"","Randi Palacios","UConn","Sr.","-","17","1597:50","1597:50","87","5.12"
"66","Jordyn Ebert","Mercer","Jr.","GK","20","1732:32","1867:32","102","5.10"
"67","Morgan Lerch","Jacksonville St.","So.","GK","12","931:47","1652:07","61","5.08"
"68","Kitty Qu","Penn","Sr.","GK","14","1169:30","1394:30","71","5.07"
"","Madison Van Dyke","Longwood","Jr.","GK","14","1270:55","1608:29","71","5.07"
"70","Kacey Lambertson","Vermont","Jr.","-","15","1238:24","1508:24","76","5.07"
"71","Carly Nelson","Utah","Sr.","-","21","1985:50","1992:19","106","5.05"
"72","Miranda Royds","Lehigh","Jr.","-","18","1747:12","1747:12","90","5.00"
"","Melanie Stiles","East Carolina","Jr.","-","18","1660:55","1692:10","90","5.00"
"74","Melody Jayroe","Liberty","Jr.","GK","19","1761:36","1773:33","94","4.95"
"75","Maggie Rogers","Western Mich.","Jr.","-","18","1571:50","1745:23","89","4.94"
"","Malia Vanisi","New Mexico","So.","GK","18","1642:14","1743:51","89","4.94"
"77","Ashton Shields","Chattanooga","So.","GK","13","1204:00","1786:28","64","4.92"
"78","Rachel Harris","Kansas St.","Jr.","-","12","1054:46","1576:03","59","4.92"
"79","Olivia Camera","San Francisco","Sr.","GK","20","1849:21","1913:10","98","4.90"
"","Kelly LaMorte","Fordham","Sr.","GK","20","1905:15","1905:15","98","4.90"
"81","Lauren Garthwaite","Grand Canyon","Fr.","GK","19","1701:05","1735:15","93","4.89"
"82","Sophia Brown","Cal Poly","Sr.","-","18","1613:34","1777:04","88","4.89"
"","Diera Walton","Utah St.","Fr.","-","18","1684:11","1774:11","88","4.89"
"84","Sabrina Locas","Niagara","Jr.","-","17","1549:57","1750:00","83","4.88"
"","Mica MacKay","Tulsa","Sr.","GK","17","1422:57","1647:57","83","4.88"
"86","Luisa MARSCHHAUSEN","South Carolina St.","So.","-","7","588:36","1094:52","34","4.86"
"87","Amanda Fitzgerald","Fairleigh Dickinson","Sr.","-","20","1900:28","2024:02","97","4.85"
"88","Jensen Schoch","SIUE","Jr.","-","16","1270:43","1920:43","77","4.81"
"89","Lara Bates","Stetson","Fr.","GK","15","1236:57","1570:00","72","4.80"
"90","Ines Palmiero Herrera","Western Ill.","Sr.","GK","18","1471:57","1479:37","86","4.78"
"91","Zoie Reed","Central Mich.","Sr.","-","17","1654:23","1654:23","81","4.76"
"92","Haleigh Mercer","Troy","Jr.","GK","19","1693:11","1805:38","90","4.74"
"93","Chioma Eriken","Southern U.","So.","GK","15","1050:16","1550:00","71","4.73"
"94","Peyton Bauman","Missouri","So.","GK","11","1016:05","1664:44","52","4.73"
"","Courtney O'Malley","UNC Asheville","So.","-","11","827:42","1565:32","52","4.73"
"96","Ashtyn Franks","Houston Baptist","Fr.","GK","14","1204:28","1631:28","66","4.71"
"97","Julia Hernan","Saint Francis (PA)","Sr.","-","17","1417:20","1526:22","80","4.71"
"98","Adrianna Brewer","Toledo","So.","GK","10","909:36","1629:36","47","4.70"
"99","Stevie Holbrook","Cleveland St.","Jr.","GK","16","1454:57","1629:37","75","4.69"
"","Sophia Lipka","IUPUI","Sr.","GK","16","1217:59","1833:58","75","4.69"
"101","Mary Parker Powell","Austin Peay","Sr.","-","18","1620:28","1734:00","84","4.67"
"102","Allison Austin","Oral Roberts","Fr.","GK","19","1750:36","1773:28","88","4.63"
"","Ariana Romero","San Jose St.","So.","GK","19","1603:20","1693:20","88","4.63"
"104","Maggie Smither","South Dakota St.","Sr.","GK","21","1863:20","2020:00","97","4.62"
"105","Quinn Josiah","Prairie View","So.","GK","18","1353:59","1729:22","83","4.61"
"106","Maya Andrews","Hampton","Sr.","GK","15","1226:20","1451:25","69","4.60"
"107","Megan Virgin","Duquesne","So.","GK","17","1597:30","1615:47","78","4.59"
"108","Maia Perez","Hartford","Jr.","GK","19","1803:01","1803:01","87","4.58"
"109","Amaia Pena","Pittsburgh","Jr.","GK","14","1296:14","1710:33","64","4.57"
"","Hannah Sullivan","Indiana St.","Sr.","-","14","1089:33","1397:50","64","4.57"
"111","Carlotta Cartelli","Louisiana Tech","Sr.","GK","18","1507:47","1985:39","82","4.56"
"112","Jalen Tompkins","Colorado","Sr.","-","22","1946:37","1946:37","100","4.55"
"113","Isabelle Austin","Tennessee Tech","Jr.","GK","19","1816:54","1816:54","86","4.53"
"114","Lauren Malcolm","St. Bonaventure","Sr.","-","18","1640:29","1640:29","81","4.50"
"","Ashley Orkus","Ole Miss","So.","GK","20","1900:34","1900:34","90","4.50"
"116","Melissa Gray","Lipscomb","Sr.","-","19","1705:00","1930:00","85","4.47"
"","Tristin Stuteville","Ball St.","Sr.","-","19","1740:22","1871:28","85","4.47"
"118","Cameron Perrott","Saint Joseph's","Sr.","GK","13","1210:17","1770:17","58","4.46"
"119","Kira Kutzinski","Maine","So.","-","9","829:36","1189:36","40","4.44"
"120","Alana Rossi","Canisius","Sr.","GK","16","1434:29","1513:45","71","4.44"
"121","Naya Lipkens","St. John's (NY)","Fr.","-","12","862:52","1612:58","53","4.42"
"122","Zoe Aguirre","Eastern Ky.","So.","-","10","963:19","1616:19","44","4.40"
"123","Katelyn Briguglio","William & Mary","Sr.","-","16","1452:09","1695:01","70","4.38"
"124","Dayja Schwichtenberg","Iowa St.","Jr.","-","11","911:38","1641:17","48","4.36"
"125","Teresa Morrissey","Rhode Island","Fr.","GK","14","1326:56","1711:46","61","4.36"
"126","Emily Kelly","Buffalo","So.","GK","20","1869:04","1899:13","87","4.35"
"127","Eve Beyer","UAB","Fr.","-","12","1159:47","1739:47","52","4.33"
"","Tamaki Machi","George Washington","So.","-","21","1964:40","1981:17","91","4.33"
"","Erin Seppi","Maryland","Sr.","GK","18","1646:01","1873:37","78","4.33"
"130","Sofia Manner","Stony Brook","Jr.","GK","21","1740:34","1740:34","90","4.29"
"","Nikki Pittman","Weber St.","Sr.","GK","14","1317:42","1665:14","60","4.29"
"132","Jessica Stanfill","Richmond","Sr.","-","11","936:22","1668:19","47","4.27"
"133","Ashlynn Harris","Winthrop","Jr.","GK","16","1447:33","1460:00","68","4.25"
"134","Sandra Nygård","Lamar University","So.","GK","17","1240:07","2067:22","72","4.24"
"135","Kerry Eagleston","Appalachian St.","Fr.","GK","18","1653:04","1689:42","76","4.22"
"136","Kelsie Stone","Drake","Jr.","-","19","1667:38","1740:23","80","4.21"
"137","Sophia Chen","Albany (NY)","Jr.","GK","15","1421:28","1691:28","63","4.20"
"","Reaghan Duval","Campbell","So.","GK","15","1278:04","1782:31","63","4.20"
"","Rebecca Gartner","Villanova","Sr.","-","15","1359:00","1870:32","63","4.20"
"","Catherine Klein","North Dakota","Sr.","GK","15","1298:58","1772:01","63","4.20"
"","Tyler Speaks","Miami (FL)","So.","-","15","1229:21","1485:28","63","4.20"
"142","Hrafnhildur Hjaltalin ","Alabama St.","Fr.","GK","12","1073:31","1831:56","50","4.17"
"","Mackenzie Wood","Northwestern","So.","GK","18","1682:42","1693:39","75","4.17"
"144","Giulia Cascapera","Arizona St.","Fr.","GK","19","1771:42","1951:42","79","4.16"
"","Lauren Kozal","Michigan St.","Fr.","GK","19","1652:47","1750:17","79","4.16"
"146","Reagan McCombs","Central Ark.","So.","GK","13","1043:33","1763:33","54","4.15"
"","Maddie Newsom","UC Irvine","Sr.","GK","13","1217:12","1697:55","54","4.15"
"148","Rylee Foster","West Virginia","Sr.","-","21","1904:21","2048:56","87","4.14"
"149","Meghan Dalton","Bryant","Jr.","-","17","1611:15","1611:15","70","4.12"
"150","Maddie Jewell","Wright St.","Sr.","GK","18","1570:00","1570:00","74","4.11"
"","Cat Sheppard","New Hampshire","So.","-","18","1580:10","1621:23","74","4.11"

NCAA Women's Soccer
Division IAssists Per Game
Through Games 12/08/2019


"Rank","Name","Team","Cl","Pos","Games","Assists","Per Game"
"1","Catarina Macario","Stanford","Jr.","-","25","23","0.92"
"2","Lucy Ashworth","Lamar University","Jr.","F","23","17","0.74"
"3","Jimena Lopez","Texas A&M","Jr.","M","21","15","0.71"
"4","Angela Caloia","Harvard","Fr.","F","16","11","0.69"
"5","Kiersten Edlund","Troy","Sr.","M","19","13","0.68"
"6","Stasia Mallin","Memphis","Sr.","D","21","14","0.67"
"7","Abby Jones","Murray St.","So.","-","17","11","0.65"
"8","Ansley Frazier","Massachusetts","Fr.","M","19","12","0.63"
"9","Keeley Leising","Winthrop","Sr.","D","16","10","0.63"
"","Ashley Sanchez","UCLA","Jr.","F","24","15","0.63"
"11","Atlanta Primus","Cal St. Fullerton","Sr.","M","21","13","0.62"
"12","Renee Guion","Clemson","So.","D","20","12","0.60"
"13","Madison Haley","Stanford","Jr.","-","24","14","0.58"
"14","Abigail Zoeller","Mercer","Jr.","M","19","11","0.58"
"15","Murphy Agnew","Harvard","Jr.","F","14","8","0.57"
"","Abby Townsend","Ohio","So.","F","21","12","0.57"
"17","Lizzy Braby","BYU","Sr.","M","23","13","0.57"
"18","Boo Jackson","Georgetown","So.","-","16","9","0.56"
"19","Haley Crawford","James Madison","Sr.","-","22","12","0.55"
"","Jaci Jones","Oklahoma St.","Sr.","M","22","12","0.55"
"","Alexa Spaanstra","Virginia","So.","M","22","12","0.55"
"22","Kiley Suter","Colorado Col.","So.","F","17","9","0.53"
"","Jenna Wilt","Colorado Col.","Jr.","M","17","9","0.53"
"24","Jessica Donald","Campbell","So.","F","19","10","0.53"
"","Alexa Genas","Campbell","Sr.","F","19","10","0.53"
"26","Emily Fox","North Carolina","Jr.","-","22","11","0.50"
"","Katie Lockwood","Campbell","Sr.","M","16","8","0.50"
"","Miciah Madison","San Francisco","Sr.","F","20","10","0.50"
"","Sarah Stratigakis","Michigan","Jr.","M","24","12","0.50"
"30","Deyna Castellanos","Florida St.","Sr.","-","23","11","0.48"
"31","Sabrina Bryan","Hofstra","Jr.","F","21","10","0.48"
"","Rylan Childers","UMKC","So.","M","21","10","0.48"
"","Madison Elwell","Vanderbilt","Jr.","M","21","10","0.48"
"","Andrea Hauksdottir","South Fla.","Sr.","M","21","10","0.48"
"35","Gaby Schwartz","Milwaukee","Jr.","D","19","9","0.47"
"","Sierra Stone","Hartford","Sr.","M","19","9","0.47"
"37","Julia Grosso","Texas","So.","-","17","8","0.47"
"","Emily Moxley","UNCW","Fr.","F","17","8","0.47"
"39","Gracie Wilson","South Alabama","Fr.","M","22","10","0.45"
"40","Haley Berg","Texas","Jr.","-","20","9","0.45"
"","Hannah Doherty","Elon","Sr.","-","20","9","0.45"
"42","Ally Grunstein","Quinnipiac","Sr.","-","18","8","0.44"
"","Vital Kats","Kent St.","Jr.","-","18","8","0.44"
"","Rene Ross","Marshall","Jr.","-","18","8","0.44"
"","Eva Van Deursen","Arizona St.","So.","M","18","8","0.44"
"46","Marjorie Boilesen","FGCU","Sr.","M","16","7","0.44"
"","Jenny Hipp","Massachusetts","Jr.","-","16","7","0.44"
"","Becca Jostes","SIUE","Sr.","-","16","7","0.44"
